Training samples 50000
Device : cuda
Total number of trainable parameters : 24742081
image_size : 224
patch_size : 16
vision_width : 192
vision_layers : 12
vision_heads : 3
vision_layer_norm_eps : 1e-06
vocab_size : 49408
text_width : 256
text_layers : 8
text_heads : 4
max_length : 77
text_layer_norm_eps : 1e-06
shared_dim : 512
batch_size : 256
learning_rate : 0.0001
epochs : 10
loss_type : contrastive
Optimizer : AdamW
Batch : 0 / 196 | Time 4483 ms | Train Loss : 5.5464 | Grad Norm : 0.2511 | Learning rate : 5.10e-07
Batch : 115 / 196 | Time 269 ms | Train Loss : 5.2363 | Grad Norm : 9.6234 | Learning rate : 5.92e-05
Batch : 116 / 196 | Time 270 ms | Train Loss : 5.2043 | Grad Norm : 8.7182 | Learning rate : 5.97e-05
Batch : 117 / 196 | Time 275 ms | Train Loss : 5.2054 | Grad Norm : 10.5898 | Learning rate : 6.02e-05
Batch : 118 / 196 | Time 264 ms | Train Loss : 5.2520 | Grad Norm : 15.1777 | Learning rate : 6.07e-05
Batch : 119 / 196 | Time 267 ms | Train Loss : 5.2169 | Grad Norm : 7.9793 | Learning rate : 6.12e-05
Batch : 120 / 196 | Time 264 ms | Train Loss : 5.2266 | Grad Norm : 10.3278 | Learning rate : 6.17e-05
Batch : 121 / 196 | Time 273 ms | Train Loss : 5.2462 | Grad Norm : 10.3536 | Learning rate : 6.22e-05
Batch : 122 / 196 | Time 280 ms | Train Loss : 5.2475 | Grad Norm : 6.1992 | Learning rate : 6.28e-05
Batch : 123 / 196 | Time 266 ms | Train Loss : 5.1893 | Grad Norm : 6.8868 | Learning rate : 6.33e-05
Batch : 124 / 196 | Time 267 ms | Train Loss : 5.2145 | Grad Norm : 3.2087 | Learning rate : 6.38e-05
Batch : 125 / 196 | Time 271 ms | Train Loss : 5.2203 | Grad Norm : 13.4078 | Learning rate : 6.43e-05
Batch : 126 / 196 | Time 270 ms | Train Loss : 5.2628 | Grad Norm : 9.7943 | Learning rate : 6.48e-05
Batch : 127 / 196 | Time 265 ms | Train Loss : 5.1664 | Grad Norm : 6.3044 | Learning rate : 6.53e-05
Batch : 128 / 196 | Time 269 ms | Train Loss : 5.1833 | Grad Norm : 7.3356 | Learning rate : 6.58e-05
Batch : 129 / 196 | Time 268 ms | Train Loss : 5.2389 | Grad Norm : 10.7208 | Learning rate : 6.63e-05
Batch : 130 / 196 | Time 266 ms | Train Loss : 5.1905 | Grad Norm : 9.3975 | Learning rate : 6.68e-05
Batch : 131 / 196 | Time 270 ms | Train Loss : 5.2167 | Grad Norm : 20.4915 | Learning rate : 6.73e-05
Batch : 132 / 196 | Time 266 ms | Train Loss : 5.3308 | Grad Norm : 19.5484 | Learning rate : 6.79e-05
Batch : 133 / 196 | Time 264 ms | Train Loss : 5.1531 | Grad Norm : 6.2726 | Learning rate : 6.84e-05
Batch : 134 / 196 | Time 264 ms | Train Loss : 5.2951 | Grad Norm : 16.5009 | Learning rate : 6.89e-05
Batch : 135 / 196 | Time 267 ms | Train Loss : 5.3377 | Grad Norm : 16.7044 | Learning rate : 6.94e-05
Batch : 136 / 196 | Time 270 ms | Train Loss : 5.2892 | Grad Norm : 8.2631 | Learning rate : 6.99e-05
Batch : 137 / 196 | Time 268 ms | Train Loss : 5.2776 | Grad Norm : 11.2861 | Learning rate : 7.04e-05
Batch : 138 / 196 | Time 266 ms | Train Loss : 5.2942 | Grad Norm : 15.9564 | Learning rate : 7.09e-05
Batch : 139 / 196 | Time 268 ms | Train Loss : 5.2453 | Grad Norm : 6.7438 | Learning rate : 7.14e-05
Batch : 140 / 196 | Time 271 ms | Train Loss : 5.2556 | Grad Norm : 9.8159 | Learning rate : 7.19e-05
Batch : 141 / 196 | Time 265 ms | Train Loss : 5.3165 | Grad Norm : 14.5839 | Learning rate : 7.24e-05
Batch : 142 / 196 | Time 265 ms | Train Loss : 5.2018 | Grad Norm : 10.7104 | Learning rate : 7.30e-05
Batch : 143 / 196 | Time 269 ms | Train Loss : 5.1627 | Grad Norm : 6.4935 | Learning rate : 7.35e-05
Batch : 144 / 196 | Time 271 ms | Train Loss : 5.2420 | Grad Norm : 11.1076 | Learning rate : 7.40e-05
Batch : 145 / 196 | Time 262 ms | Train Loss : 5.1561 | Grad Norm : 6.6619 | Learning rate : 7.45e-05
Batch : 146 / 196 | Time 270 ms | Train Loss : 5.3286 | Grad Norm : 15.0918 | Learning rate : 7.50e-05
Batch : 147 / 196 | Time 266 ms | Train Loss : 5.2816 | Grad Norm : 18.7096 | Learning rate : 7.55e-05
Batch : 148 / 196 | Time 271 ms | Train Loss : 5.1725 | Grad Norm : 6.8760 | Learning rate : 7.60e-05
Batch : 149 / 196 | Time 266 ms | Train Loss : 5.2469 | Grad Norm : 23.8861 | Learning rate : 7.65e-05
Batch : 150 / 196 | Time 275 ms | Train Loss : 5.3578 | Grad Norm : 22.3898 | Learning rate : 7.70e-05
Batch : 151 / 196 | Time 267 ms | Train Loss : 5.2756 | Grad Norm : 15.0356 | Learning rate : 7.76e-05
Batch : 152 / 196 | Time 271 ms | Train Loss : 5.1676 | Grad Norm : 4.7189 | Learning rate : 7.81e-05
Batch : 153 / 196 | Time 265 ms | Train Loss : 5.2819 | Grad Norm : 14.0251 | Learning rate : 7.86e-05
Batch : 154 / 196 | Time 270 ms | Train Loss : 5.2051 | Grad Norm : 13.6801 | Learning rate : 7.91e-05
Batch : 155 / 196 | Time 266 ms | Train Loss : 5.1541 | Grad Norm : 9.7810 | Learning rate : 7.96e-05
Batch : 156 / 196 | Time 271 ms | Train Loss : 5.1716 | Grad Norm : 5.8046 | Learning rate : 8.01e-05
Batch : 157 / 196 | Time 273 ms | Train Loss : 5.1150 | Grad Norm : 14.1067 | Learning rate : 8.06e-05
Batch : 158 / 196 | Time 267 ms | Train Loss : 5.1716 | Grad Norm : 10.1945 | Learning rate : 8.11e-05
Batch : 159 / 196 | Time 272 ms | Train Loss : 5.1560 | Grad Norm : 8.9474 | Learning rate : 8.16e-05
Batch : 160 / 196 | Time 265 ms | Train Loss : 5.0586 | Grad Norm : 8.6126 | Learning rate : 8.21e-05
Batch : 161 / 196 | Time 270 ms | Train Loss : 5.1123 | Grad Norm : 5.0441 | Learning rate : 8.27e-05
Batch : 162 / 196 | Time 265 ms | Train Loss : 5.1082 | Grad Norm : 7.0468 | Learning rate : 8.32e-05
Batch : 163 / 196 | Time 270 ms | Train Loss : 5.1279 | Grad Norm : 7.9242 | Learning rate : 8.37e-05
Batch : 164 / 196 | Time 268 ms | Train Loss : 5.1335 | Grad Norm : 5.2288 | Learning rate : 8.42e-05
Batch : 165 / 196 | Time 265 ms | Train Loss : 5.1216 | Grad Norm : 3.1027 | Learning rate : 8.47e-05
Batch : 166 / 196 | Time 269 ms | Train Loss : 5.1010 | Grad Norm : 9.8273 | Learning rate : 8.52e-05
Batch : 167 / 196 | Time 276 ms | Train Loss : 5.0610 | Grad Norm : 9.5133 | Learning rate : 8.57e-05
Batch : 168 / 196 | Time 270 ms | Train Loss : 5.2301 | Grad Norm : 9.8977 | Learning rate : 8.62e-05
Batch : 169 / 196 | Time 266 ms | Train Loss : 5.1324 | Grad Norm : 13.8463 | Learning rate : 8.67e-05
Batch : 170 / 196 | Time 264 ms | Train Loss : 5.1251 | Grad Norm : 5.1238 | Learning rate : 8.72e-05
Batch : 171 / 196 | Time 285 ms | Train Loss : 5.1841 | Grad Norm : 16.2967 | Learning rate : 8.78e-05
Batch : 172 / 196 | Time 278 ms | Train Loss : 5.1938 | Grad Norm : 16.3890 | Learning rate : 8.83e-05
Batch : 173 / 196 | Time 263 ms | Train Loss : 5.0423 | Grad Norm : 4.5522 | Learning rate : 8.88e-05
Batch : 174 / 196 | Time 266 ms | Train Loss : 5.1051 | Grad Norm : 13.2103 | Learning rate : 8.93e-05
Batch : 175 / 196 | Time 259 ms | Train Loss : 5.0301 | Grad Norm : 4.2342 | Learning rate : 8.98e-05
Batch : 176 / 196 | Time 267 ms | Train Loss : 5.1082 | Grad Norm : 3.3467 | Learning rate : 9.03e-05
Batch : 177 / 196 | Time 267 ms | Train Loss : 5.1128 | Grad Norm : 3.8515 | Learning rate : 9.08e-05
Batch : 178 / 196 | Time 269 ms | Train Loss : 5.1612 | Grad Norm : 9.2227 | Learning rate : 9.13e-05
Batch : 179 / 196 | Time 265 ms | Train Loss : 5.0315 | Grad Norm : 3.8363 | Learning rate : 9.18e-05
Batch : 180 / 196 | Time 267 ms | Train Loss : 5.1615 | Grad Norm : 14.8808 | Learning rate : 9.23e-05
Batch : 181 / 196 | Time 266 ms | Train Loss : 5.0565 | Grad Norm : 4.1754 | Learning rate : 9.29e-05
Batch : 182 / 196 | Time 274 ms | Train Loss : 5.0692 | Grad Norm : 12.3284 | Learning rate : 9.34e-05
Batch : 183 / 196 | Time 266 ms | Train Loss : 5.0678 | Grad Norm : 13.2826 | Learning rate : 9.39e-05
Batch : 184 / 196 | Time 267 ms | Train Loss : 5.0779 | Grad Norm : 4.7783 | Learning rate : 9.44e-05
Batch : 185 / 196 | Time 266 ms | Train Loss : 4.9398 | Grad Norm : 7.6612 | Learning rate : 9.49e-05
Batch : 186 / 196 | Time 264 ms | Train Loss : 5.0962 | Grad Norm : 11.9310 | Learning rate : 9.54e-05
Batch : 187 / 196 | Time 273 ms | Train Loss : 5.0719 | Grad Norm : 8.2582 | Learning rate : 9.59e-05
Batch : 188 / 196 | Time 266 ms | Train Loss : 5.0828 | Grad Norm : 21.7720 | Learning rate : 9.64e-05
Batch : 189 / 196 | Time 266 ms | Train Loss : 5.0475 | Grad Norm : 13.6899 | Learning rate : 9.69e-05
Batch : 190 / 196 | Time 268 ms | Train Loss : 5.1264 | Grad Norm : 15.3326 | Learning rate : 9.74e-05
Batch : 191 / 196 | Time 265 ms | Train Loss : 5.1145 | Grad Norm : 12.9903 | Learning rate : 9.80e-05
Batch : 192 / 196 | Time 264 ms | Train Loss : 4.9183 | Grad Norm : 9.0346 | Learning rate : 9.85e-05
Batch : 193 / 196 | Time 269 ms | Train Loss : 5.0506 | Grad Norm : 7.3553 | Learning rate : 9.90e-05
Batch : 194 / 196 | Time 265 ms | Train Loss : 4.9765 | Grad Norm : 10.0826 | Learning rate : 9.95e-05
Batch : 195 / 196 | Time 3746 ms | Train Loss : 3.7609 | Grad Norm : 9.4277 | Learning rate : 1.00e-04
Epoch : 0 | Training Loss : 3.7609| Accuracy on test set : 0.2731
 Batch : 0 / 196 | Time 298 ms | Train Loss : 4.9952 | Grad Norm : 13.7081 | Learning rate : 1.00e-04
Batch : 1 / 196 | Time 266 ms | Train Loss : 4.9720 | Grad Norm : 8.2877 | Learning rate : 1.00e-04
Batch : 2 / 196 | Time 264 ms | Train Loss : 5.0681 | Grad Norm : 23.9645 | Learning rate : 1.00e-04
Batch : 3 / 196 | Time 266 ms | Train Loss : 5.0179 | Grad Norm : 24.8435 | Learning rate : 1.00e-04
Batch : 4 / 196 | Time 266 ms | Train Loss : 4.9542 | Grad Norm : 20.3522 | Learning rate : 1.00e-04
Batch : 5 / 196 | Time 267 ms | Train Loss : 5.0323 | Grad Norm : 17.8493 | Learning rate : 1.00e-04
Batch : 6 / 196 | Time 268 ms | Train Loss : 4.9331 | Grad Norm : 15.2671 | Learning rate : 1.00e-04
Batch : 7 / 196 | Time 269 ms | Train Loss : 4.9331 | Grad Norm : 8.5591 | Learning rate : 1.00e-04
Batch : 8 / 196 | Time 266 ms | Train Loss : 4.9255 | Grad Norm : 14.3874 | Learning rate : 1.00e-04
Batch : 9 / 196 | Time 269 ms | Train Loss : 5.0289 | Grad Norm : 12.5082 | Learning rate : 1.00e-04
Batch : 10 / 196 | Time 267 ms | Train Loss : 5.0809 | Grad Norm : 23.4158 | Learning rate : 1.00e-04
Batch : 11 / 196 | Time 265 ms | Train Loss : 4.9646 | Grad Norm : 15.8229 | Learning rate : 1.00e-04
Batch : 12 / 196 | Time 265 ms | Train Loss : 4.9681 | Grad Norm : 15.2490 | Learning rate : 1.00e-04
Batch : 13 / 196 | Time 267 ms | Train Loss : 5.0203 | Grad Norm : 14.0129 | Learning rate : 1.00e-04
Batch : 14 / 196 | Time 266 ms | Train Loss : 4.9972 | Grad Norm : 9.3600 | Learning rate : 1.00e-04
Batch : 15 / 196 | Time 267 ms | Train Loss : 4.9517 | Grad Norm : 9.8251 | Learning rate : 1.00e-04
Batch : 16 / 196 | Time 264 ms | Train Loss : 4.9009 | Grad Norm : 13.7519 | Learning rate : 1.00e-04
Batch : 17 / 196 | Time 264 ms | Train Loss : 4.9514 | Grad Norm : 8.7058 | Learning rate : 1.00e-04
Batch : 18 / 196 | Time 264 ms | Train Loss : 4.9432 | Grad Norm : 3.5553 | Learning rate : 1.00e-04
Batch : 19 / 196 | Time 267 ms | Train Loss : 4.9104 | Grad Norm : 14.2466 | Learning rate : 1.00e-04
Batch : 20 / 196 | Time 263 ms | Train Loss : 4.9654 | Grad Norm : 10.0395 | Learning rate : 1.00e-04
Batch : 21 / 196 | Time 265 ms | Train Loss : 4.8485 | Grad Norm : 11.7027 | Learning rate : 1.00e-04
Batch : 22 / 196 | Time 271 ms | Train Loss : 4.9352 | Grad Norm : 31.9036 | Learning rate : 1.00e-04
Batch : 23 / 196 | Time 264 ms | Train Loss : 5.0105 | Grad Norm : 26.2018 | Learning rate : 1.00e-04
Batch : 24 / 196 | Time 264 ms | Train Loss : 5.0210 | Grad Norm : 5.6924 | Learning rate : 1.00e-04
