Device : cuda
Training samples 50000
Batch : 0 / 196 | Time 13980 ms | Train Loss : 5.5452 | Grad Norm : 0.0599
Batch : 56 / 196 | Time 700 ms | Train Loss : 5.5393 | Grad Norm : 0.0424
Batch : 57 / 196 | Time 698 ms | Train Loss : 5.5358 | Grad Norm : 0.1118
Batch : 58 / 196 | Time 699 ms | Train Loss : 5.5412 | Grad Norm : 1.2069
Batch : 59 / 196 | Time 700 ms | Train Loss : 5.6595 | Grad Norm : 2.0627
Batch : 60 / 196 | Time 699 ms | Train Loss : 5.5488 | Grad Norm : 0.6549
Batch : 61 / 196 | Time 700 ms | Train Loss : 5.5587 | Grad Norm : 1.1337
Batch : 62 / 196 | Time 704 ms | Train Loss : 5.5525 | Grad Norm : 0.8553
Batch : 63 / 196 | Time 700 ms | Train Loss : 5.5368 | Grad Norm : 0.0669
Batch : 64 / 196 | Time 701 ms | Train Loss : 5.5440 | Grad Norm : 0.1146
Batch : 65 / 196 | Time 699 ms | Train Loss : 5.5441 | Grad Norm : 0.1349
Batch : 66 / 196 | Time 700 ms | Train Loss : 5.5462 | Grad Norm : 0.1258
Batch : 67 / 196 | Time 701 ms | Train Loss : 5.5474 | Grad Norm : 0.1159
Batch : 68 / 196 | Time 700 ms | Train Loss : 5.5462 | Grad Norm : 0.0903
Batch : 69 / 196 | Time 702 ms | Train Loss : 5.5437 | Grad Norm : 0.0787
Batch : 70 / 196 | Time 703 ms | Train Loss : 5.5444 | Grad Norm : 0.0572
Batch : 71 / 196 | Time 702 ms | Train Loss : 5.5424 | Grad Norm : 0.0419
Batch : 72 / 196 | Time 705 ms | Train Loss : 5.5412 | Grad Norm : 0.0329
Batch : 73 / 196 | Time 702 ms | Train Loss : 5.5413 | Grad Norm : 0.0265
Batch : 74 / 196 | Time 703 ms | Train Loss : 5.5417 | Grad Norm : 0.0212
Batch : 75 / 196 | Time 705 ms | Train Loss : 5.5418 | Grad Norm : 0.0207
Batch : 76 / 196 | Time 707 ms | Train Loss : 5.5405 | Grad Norm : 0.0272
Batch : 77 / 196 | Time 708 ms | Train Loss : 5.5398 | Grad Norm : 0.0332
Batch : 78 / 196 | Time 710 ms | Train Loss : 5.5391 | Grad Norm : 0.0367
Batch : 79 / 196 | Time 703 ms | Train Loss : 5.5393 | Grad Norm : 0.0365
Batch : 80 / 196 | Time 703 ms | Train Loss : 5.5402 | Grad Norm : 0.0323
Batch : 81 / 196 | Time 705 ms | Train Loss : 5.5384 | Grad Norm : 0.0438
Batch : 82 / 196 | Time 711 ms | Train Loss : 5.5381 | Grad Norm : 0.0438
Batch : 83 / 196 | Time 705 ms | Train Loss : 5.5362 | Grad Norm : 0.0550
Batch : 84 / 196 | Time 707 ms | Train Loss : 5.5372 | Grad Norm : 0.0576
Batch : 85 / 196 | Time 707 ms | Train Loss : 5.5355 | Grad Norm : 0.0627
Batch : 86 / 196 | Time 708 ms | Train Loss : 5.5319 | Grad Norm : 0.0827
Batch : 87 / 196 | Time 712 ms | Train Loss : 5.5352 | Grad Norm : 0.0634
Batch : 88 / 196 | Time 713 ms | Train Loss : 5.5195 | Grad Norm : 0.1309
Batch : 89 / 196 | Time 710 ms | Train Loss : 5.5175 | Grad Norm : 0.1330
Batch : 90 / 196 | Time 705 ms | Train Loss : 5.5039 | Grad Norm : 0.1884
Batch : 91 / 196 | Time 709 ms | Train Loss : 5.5114 | Grad Norm : 0.1309
Batch : 92 / 196 | Time 706 ms | Train Loss : 5.4885 | Grad Norm : 0.1482
Batch : 93 / 196 | Time 707 ms | Train Loss : 5.4896 | Grad Norm : 0.4840
Batch : 94 / 196 | Time 706 ms | Train Loss : 5.4575 | Grad Norm : 0.9701
Batch : 95 / 196 | Time 706 ms | Train Loss : 5.5953 | Grad Norm : 2.4084
Batch : 96 / 196 | Time 714 ms | Train Loss : 5.5481 | Grad Norm : 0.9677
Batch : 97 / 196 | Time 712 ms | Train Loss : 5.5566 | Grad Norm : 0.7536
Batch : 98 / 196 | Time 708 ms | Train Loss : 5.5446 | Grad Norm : 0.5192
Batch : 99 / 196 | Time 708 ms | Train Loss : 5.5218 | Grad Norm : 0.2951
Batch : 100 / 196 | Time 708 ms | Train Loss : 5.5113 | Grad Norm : 0.1910
Batch : 101 / 196 | Time 705 ms | Train Loss : 5.5173 | Grad Norm : 0.1456
Batch : 102 / 196 | Time 706 ms | Train Loss : 5.5329 | Grad Norm : 0.1857
Batch : 103 / 196 | Time 707 ms | Train Loss : 5.5351 | Grad Norm : 0.2784
Batch : 104 / 196 | Time 708 ms | Train Loss : 5.5286 | Grad Norm : 0.2776
Batch : 105 / 196 | Time 708 ms | Train Loss : 5.5290 | Grad Norm : 0.2710
Batch : 106 / 196 | Time 711 ms | Train Loss : 5.5296 | Grad Norm : 0.2057
Batch : 107 / 196 | Time 713 ms | Train Loss : 5.5166 | Grad Norm : 0.1822
Batch : 108 / 196 | Time 712 ms | Train Loss : 5.5182 | Grad Norm : 0.1367
Batch : 109 / 196 | Time 711 ms | Train Loss : 5.5126 | Grad Norm : 0.1440
Batch : 110 / 196 | Time 708 ms | Train Loss : 5.5038 | Grad Norm : 0.2178
Batch : 111 / 196 | Time 708 ms | Train Loss : 5.4947 | Grad Norm : 0.3064
Batch : 112 / 196 | Time 712 ms | Train Loss : 5.4913 | Grad Norm : 0.3577
Batch : 113 / 196 | Time 712 ms | Train Loss : 5.4699 | Grad Norm : 0.4238
Batch : 114 / 196 | Time 716 ms | Train Loss : 5.4488 | Grad Norm : 0.3046
Batch : 115 / 196 | Time 715 ms | Train Loss : 5.4096 | Grad Norm : 1.2581
Batch : 116 / 196 | Time 711 ms | Train Loss : 5.3435 | Grad Norm : 0.4468
Batch : 117 / 196 | Time 711 ms | Train Loss : 5.4078 | Grad Norm : 1.5708
Batch : 118 / 196 | Time 712 ms | Train Loss : 5.5761 | Grad Norm : 1.7021
Batch : 119 / 196 | Time 711 ms | Train Loss : 5.3579 | Grad Norm : 1.9898
Batch : 120 / 196 | Time 714 ms | Train Loss : 5.3707 | Grad Norm : 1.3648
Batch : 121 / 196 | Time 722 ms | Train Loss : 5.4020 | Grad Norm : 0.9716
Batch : 122 / 196 | Time 712 ms | Train Loss : 5.4245 | Grad Norm : 0.3349
Batch : 123 / 196 | Time 719 ms | Train Loss : 5.4140 | Grad Norm : 0.9386
Batch : 124 / 196 | Time 716 ms | Train Loss : 5.4254 | Grad Norm : 0.7516
Batch : 125 / 196 | Time 720 ms | Train Loss : 5.4245 | Grad Norm : 0.3115
Batch : 126 / 196 | Time 725 ms | Train Loss : 5.4383 | Grad Norm : 0.7921
Batch : 127 / 196 | Time 714 ms | Train Loss : 5.3761 | Grad Norm : 0.9808
Batch : 128 / 196 | Time 719 ms | Train Loss : 5.3910 | Grad Norm : 2.5970
Batch : 129 / 196 | Time 717 ms | Train Loss : 5.4315 | Grad Norm : 1.7971
Batch : 130 / 196 | Time 728 ms | Train Loss : 5.3574 | Grad Norm : 1.1537
Batch : 131 / 196 | Time 721 ms | Train Loss : 5.4621 | Grad Norm : 4.6283
Batch : 132 / 196 | Time 721 ms | Train Loss : 5.4179 | Grad Norm : 3.2860
Batch : 133 / 196 | Time 720 ms | Train Loss : 5.4476 | Grad Norm : 2.1134
Batch : 134 / 196 | Time 721 ms | Train Loss : 5.3578 | Grad Norm : 0.9565
Batch : 135 / 196 | Time 727 ms | Train Loss : 5.4918 | Grad Norm : 2.9569
Batch : 136 / 196 | Time 720 ms | Train Loss : 5.3634 | Grad Norm : 0.5174
Batch : 137 / 196 | Time 729 ms | Train Loss : 5.4264 | Grad Norm : 1.1177
Batch : 138 / 196 | Time 732 ms | Train Loss : 5.4052 | Grad Norm : 1.3557
Batch : 139 / 196 | Time 729 ms | Train Loss : 5.3653 | Grad Norm : 0.9620
Batch : 140 / 196 | Time 721 ms | Train Loss : 5.3561 | Grad Norm : 0.4827
Batch : 141 / 196 | Time 742 ms | Train Loss : 5.3800 | Grad Norm : 1.9928
Batch : 142 / 196 | Time 733 ms | Train Loss : 5.3766 | Grad Norm : 1.3262
Batch : 143 / 196 | Time 726 ms | Train Loss : 5.3271 | Grad Norm : 1.1155
Batch : 144 / 196 | Time 727 ms | Train Loss : 5.4693 | Grad Norm : 2.1861
Batch : 145 / 196 | Time 736 ms | Train Loss : 5.3632 | Grad Norm : 0.8609
Batch : 146 / 196 | Time 725 ms | Train Loss : 5.4047 | Grad Norm : 2.2921
Batch : 147 / 196 | Time 727 ms | Train Loss : 5.3170 | Grad Norm : 1.5473
Batch : 148 / 196 | Time 739 ms | Train Loss : 5.3892 | Grad Norm : 1.2846
Batch : 149 / 196 | Time 735 ms | Train Loss : 5.3835 | Grad Norm : 1.8711
Batch : 150 / 196 | Time 740 ms | Train Loss : 5.2814 | Grad Norm : 0.4295
Batch : 151 / 196 | Time 729 ms | Train Loss : 5.4054 | Grad Norm : 2.1176
Batch : 152 / 196 | Time 742 ms | Train Loss : 5.3082 | Grad Norm : 0.9513
Batch : 153 / 196 | Time 748 ms | Train Loss : 5.3511 | Grad Norm : 1.1907
Batch : 154 / 196 | Time 735 ms | Train Loss : 5.3940 | Grad Norm : 1.4058
Batch : 155 / 196 | Time 750 ms | Train Loss : 5.3377 | Grad Norm : 0.4734
Batch : 156 / 196 | Time 742 ms | Train Loss : 5.4066 | Grad Norm : 1.6042
Batch : 157 / 196 | Time 744 ms | Train Loss : 5.3479 | Grad Norm : 0.7067
Batch : 158 / 196 | Time 736 ms | Train Loss : 5.3507 | Grad Norm : 0.5633
Batch : 159 / 196 | Time 748 ms | Train Loss : 5.3866 | Grad Norm : 0.8260
Batch : 160 / 196 | Time 740 ms | Train Loss : 5.3410 | Grad Norm : 0.4731
Batch : 161 / 196 | Time 736 ms | Train Loss : 5.3300 | Grad Norm : 0.6843
Batch : 162 / 196 | Time 758 ms | Train Loss : 5.3362 | Grad Norm : 1.3006
Batch : 163 / 196 | Time 735 ms | Train Loss : 5.3195 | Grad Norm : 0.2756
Batch : 164 / 196 | Time 737 ms | Train Loss : 5.3933 | Grad Norm : 1.2337
Batch : 165 / 196 | Time 747 ms | Train Loss : 5.3046 | Grad Norm : 0.5885
Batch : 166 / 196 | Time 744 ms | Train Loss : 5.3191 | Grad Norm : 0.9961
Batch : 167 / 196 | Time 725 ms | Train Loss : 5.2491 | Grad Norm : 1.2444
Batch : 168 / 196 | Time 767 ms | Train Loss : 5.3841 | Grad Norm : 0.8008
Batch : 169 / 196 | Time 749 ms | Train Loss : 5.3385 | Grad Norm : 0.5973
Batch : 170 / 196 | Time 760 ms | Train Loss : 5.2747 | Grad Norm : 0.7656
Batch : 171 / 196 | Time 748 ms | Train Loss : 5.2607 | Grad Norm : 1.0588
Batch : 172 / 196 | Time 752 ms | Train Loss : 5.3837 | Grad Norm : 1.5362
Batch : 173 / 196 | Time 743 ms | Train Loss : 5.3197 | Grad Norm : 1.9089
Batch : 174 / 196 | Time 757 ms | Train Loss : 5.3579 | Grad Norm : 1.5992
Batch : 175 / 196 | Time 734 ms | Train Loss : 5.2956 | Grad Norm : 1.6569
Batch : 176 / 196 | Time 738 ms | Train Loss : 5.2521 | Grad Norm : 1.3320
Batch : 177 / 196 | Time 760 ms | Train Loss : 5.2769 | Grad Norm : 1.3132
Batch : 178 / 196 | Time 760 ms | Train Loss : 5.3233 | Grad Norm : 1.3233
Batch : 179 / 196 | Time 742 ms | Train Loss : 5.4019 | Grad Norm : 1.3368
Batch : 180 / 196 | Time 763 ms | Train Loss : 5.3000 | Grad Norm : 0.7889
Batch : 181 / 196 | Time 732 ms | Train Loss : 5.2869 | Grad Norm : 0.4069
Batch : 182 / 196 | Time 732 ms | Train Loss : 5.3277 | Grad Norm : 1.0929
Batch : 183 / 196 | Time 736 ms | Train Loss : 5.2252 | Grad Norm : 1.9335
Batch : 184 / 196 | Time 725 ms | Train Loss : 5.3499 | Grad Norm : 2.7961
Batch : 185 / 196 | Time 730 ms | Train Loss : 5.3129 | Grad Norm : 1.4734
Batch : 186 / 196 | Time 759 ms | Train Loss : 5.4309 | Grad Norm : 1.3497
Batch : 187 / 196 | Time 753 ms | Train Loss : 5.2885 | Grad Norm : 2.2906
Batch : 188 / 196 | Time 755 ms | Train Loss : 5.3360 | Grad Norm : 0.5654
Batch : 189 / 196 | Time 747 ms | Train Loss : 5.3370 | Grad Norm : 2.3207
Batch : 190 / 196 | Time 745 ms | Train Loss : 5.2279 | Grad Norm : 0.3883
Batch : 191 / 196 | Time 765 ms | Train Loss : 5.3236 | Grad Norm : 0.8327
Batch : 192 / 196 | Time 741 ms | Train Loss : 5.2965 | Grad Norm : 1.9173
Batch : 193 / 196 | Time 760 ms | Train Loss : 5.2391 | Grad Norm : 0.9891
Batch : 194 / 196 | Time 747 ms | Train Loss : 5.2012 | Grad Norm : 1.4928
Batch : 195 / 196 | Time 8014 ms | Train Loss : 4.0801 | Grad Norm : 0.7060
Epoch : 0 | Training Loss : 4.0801
 Batch : 0 / 196 | Time 1025 ms | Train Loss : 5.3590 | Grad Norm : 1.7099
Batch : 1 / 196 | Time 705 ms | Train Loss : 5.2203 | Grad Norm : 0.7019
Batch : 2 / 196 | Time 696 ms | Train Loss : 5.3277 | Grad Norm : 1.4105
Batch : 3 / 196 | Time 709 ms | Train Loss : 5.2925 | Grad Norm : 0.4218
Batch : 4 / 196 | Time 705 ms | Train Loss : 5.3356 | Grad Norm : 1.9475
Batch : 5 / 196 | Time 717 ms | Train Loss : 5.2764 | Grad Norm : 0.4751
Batch : 6 / 196 | Time 708 ms | Train Loss : 5.3402 | Grad Norm : 1.1055
Batch : 7 / 196 | Time 711 ms | Train Loss : 5.2656 | Grad Norm : 0.3587
Batch : 8 / 196 | Time 705 ms | Train Loss : 5.2666 | Grad Norm : 1.3023
Batch : 9 / 196 | Time 704 ms | Train Loss : 5.2614 | Grad Norm : 1.3551
Batch : 10 / 196 | Time 704 ms | Train Loss : 5.2683 | Grad Norm : 1.0084
Batch : 11 / 196 | Time 702 ms | Train Loss : 5.3351 | Grad Norm : 2.6050
Batch : 12 / 196 | Time 699 ms | Train Loss : 5.2967 | Grad Norm : 1.4437
Batch : 13 / 196 | Time 700 ms | Train Loss : 5.2956 | Grad Norm : 0.9051
Batch : 14 / 196 | Time 698 ms | Train Loss : 5.2052 | Grad Norm : 0.9757
Batch : 15 / 196 | Time 698 ms | Train Loss : 5.3273 | Grad Norm : 1.1654
Batch : 16 / 196 | Time 699 ms | Train Loss : 5.3330 | Grad Norm : 1.7086
Batch : 17 / 196 | Time 700 ms | Train Loss : 5.2019 | Grad Norm : 0.7627
Batch : 18 / 196 | Time 700 ms | Train Loss : 5.2205 | Grad Norm : 0.9022
Batch : 19 / 196 | Time 702 ms | Train Loss : 5.2014 | Grad Norm : 1.5228
Batch : 20 / 196 | Time 699 ms | Train Loss : 5.1786 | Grad Norm : 1.8527
Batch : 21 / 196 | Time 700 ms | Train Loss : 5.2265 | Grad Norm : 0.4831
Batch : 22 / 196 | Time 700 ms | Train Loss : 5.3190 | Grad Norm : 1.5634
Batch : 23 / 196 | Time 700 ms | Train Loss : 5.2302 | Grad Norm : 2.6303
Batch : 24 / 196 | Time 702 ms | Train Loss : 5.2142 | Grad Norm : 2.2853
Batch : 25 / 196 | Time 703 ms | Train Loss : 5.2140 | Grad Norm : 0.9477
Batch : 26 / 196 | Time 702 ms | Train Loss : 5.2428 | Grad Norm : 1.8292
Batch : 27 / 196 | Time 710 ms | Train Loss : 5.2413 | Grad Norm : 1.2402
Batch : 28 / 196 | Time 706 ms | Train Loss : 5.1910 | Grad Norm : 1.1289
Batch : 29 / 196 | Time 711 ms | Train Loss : 5.2633 | Grad Norm : 2.0128
Batch : 30 / 196 | Time 711 ms | Train Loss : 5.2394 | Grad Norm : 1.2346
Batch : 31 / 196 | Time 707 ms | Train Loss : 5.1897 | Grad Norm : 0.7618
Batch : 32 / 196 | Time 704 ms | Train Loss : 5.2617 | Grad Norm : 0.9147
Batch : 33 / 196 | Time 705 ms | Train Loss : 5.1746 | Grad Norm : 1.1017
Batch : 34 / 196 | Time 706 ms | Train Loss : 5.2254 | Grad Norm : 1.1922
Batch : 35 / 196 | Time 705 ms | Train Loss : 5.2625 | Grad Norm : 2.1305
Batch : 36 / 196 | Time 706 ms | Train Loss : 5.2470 | Grad Norm : 6.6787
Batch : 37 / 196 | Time 706 ms | Train Loss : 5.4745 | Grad Norm : 7.7709
Batch : 38 / 196 | Time 723 ms | Train Loss : 5.2127 | Grad Norm : 0.6751
Batch : 39 / 196 | Time 711 ms | Train Loss : 5.3152 | Grad Norm : 5.2062
Batch : 40 / 196 | Time 709 ms | Train Loss : 5.3136 | Grad Norm : 1.0234
Batch : 41 / 196 | Time 708 ms | Train Loss : 5.3375 | Grad Norm : 2.9260
Batch : 42 / 196 | Time 705 ms | Train Loss : 5.2849 | Grad Norm : 1.8961
Batch : 43 / 196 | Time 707 ms | Train Loss : 5.2712 | Grad Norm : 0.6531
Batch : 44 / 196 | Time 707 ms | Train Loss : 5.2924 | Grad Norm : 2.8782
Batch : 45 / 196 | Time 719 ms | Train Loss : 5.3411 | Grad Norm : 3.2276
Batch : 46 / 196 | Time 708 ms | Train Loss : 5.2182 | Grad Norm : 1.0539
Batch : 47 / 196 | Time 714 ms | Train Loss : 5.3400 | Grad Norm : 3.0848
Batch : 48 / 196 | Time 712 ms | Train Loss : 5.2314 | Grad Norm : 2.9516
Batch : 49 / 196 | Time 713 ms | Train Loss : 5.2641 | Grad Norm : 2.7807
Batch : 50 / 196 | Time 706 ms | Train Loss : 5.3976 | Grad Norm : 6.5092
Batch : 51 / 196 | Time 704 ms | Train Loss : 5.2623 | Grad Norm : 2.5815
Batch : 52 / 196 | Time 709 ms | Train Loss : 5.3474 | Grad Norm : 4.1075
Batch : 53 / 196 | Time 707 ms | Train Loss : 5.2329 | Grad Norm : 2.2847
Batch : 54 / 196 | Time 706 ms | Train Loss : 5.2132 | Grad Norm : 1.5967
Batch : 55 / 196 | Time 710 ms | Train Loss : 5.3058 | Grad Norm : 3.4875
Batch : 56 / 196 | Time 713 ms | Train Loss : 5.2439 | Grad Norm : 2.1775
Batch : 57 / 196 | Time 711 ms | Train Loss : 5.2220 | Grad Norm : 0.9916
Batch : 58 / 196 | Time 709 ms | Train Loss : 5.3134 | Grad Norm : 3.0826
Batch : 59 / 196 | Time 706 ms | Train Loss : 5.3168 | Grad Norm : 2.7860
Batch : 60 / 196 | Time 708 ms | Train Loss : 5.2017 | Grad Norm : 1.1372
Batch : 61 / 196 | Time 707 ms | Train Loss : 5.3117 | Grad Norm : 2.9530
Batch : 62 / 196 | Time 709 ms | Train Loss : 5.2065 | Grad Norm : 2.2506
Batch : 63 / 196 | Time 710 ms | Train Loss : 5.2198 | Grad Norm : 3.0674
Batch : 64 / 196 | Time 712 ms | Train Loss : 5.2732 | Grad Norm : 2.1895
Batch : 65 / 196 | Time 717 ms | Train Loss : 5.2424 | Grad Norm : 1.1371
Batch : 66 / 196 | Time 710 ms | Train Loss : 5.3494 | Grad Norm : 4.6870
Batch : 67 / 196 | Time 713 ms | Train Loss : 5.2087 | Grad Norm : 1.7300
Batch : 68 / 196 | Time 709 ms | Train Loss : 5.2664 | Grad Norm : 1.6988
Batch : 69 / 196 | Time 709 ms | Train Loss : 5.2607 | Grad Norm : 1.8553
Batch : 70 / 196 | Time 713 ms | Train Loss : 5.1927 | Grad Norm : 1.8683
Batch : 71 / 196 | Time 716 ms | Train Loss : 5.2410 | Grad Norm : 2.6355
Batch : 72 / 196 | Time 724 ms | Train Loss : 5.1831 | Grad Norm : 2.3230
Batch : 73 / 196 | Time 718 ms | Train Loss : 5.2446 | Grad Norm : 1.5735
Batch : 74 / 196 | Time 718 ms | Train Loss : 5.2409 | Grad Norm : 1.8021
Batch : 75 / 196 | Time 725 ms | Train Loss : 5.1749 | Grad Norm : 2.3173
Batch : 76 / 196 | Time 729 ms | Train Loss : 5.1609 | Grad Norm : 2.0766
Batch : 77 / 196 | Time 718 ms | Train Loss : 5.1986 | Grad Norm : 3.5586
Batch : 78 / 196 | Time 716 ms | Train Loss : 5.2498 | Grad Norm : 2.4336
Batch : 79 / 196 | Time 725 ms | Train Loss : 5.2168 | Grad Norm : 3.0115
Batch : 80 / 196 | Time 724 ms | Train Loss : 5.1943 | Grad Norm : 1.9432
Batch : 81 / 196 | Time 725 ms | Train Loss : 5.1856 | Grad Norm : 1.5127
Batch : 82 / 196 | Time 725 ms | Train Loss : 5.1895 | Grad Norm : 1.6061
Batch : 83 / 196 | Time 736 ms | Train Loss : 5.1916 | Grad Norm : 2.0963
Batch : 84 / 196 | Time 728 ms | Train Loss : 5.3131 | Grad Norm : 1.2966
Batch : 85 / 196 | Time 732 ms | Train Loss : 5.1802 | Grad Norm : 0.6045
Batch : 86 / 196 | Time 725 ms | Train Loss : 5.1873 | Grad Norm : 1.3865
Batch : 87 / 196 | Time 731 ms | Train Loss : 5.2135 | Grad Norm : 1.3213
Batch : 88 / 196 | Time 730 ms | Train Loss : 5.1633 | Grad Norm : 3.0920
Batch : 89 / 196 | Time 733 ms | Train Loss : 5.1579 | Grad Norm : 0.6394
Batch : 90 / 196 | Time 740 ms | Train Loss : 5.2803 | Grad Norm : 2.4631
Batch : 91 / 196 | Time 738 ms | Train Loss : 5.1895 | Grad Norm : 1.0318
Batch : 92 / 196 | Time 748 ms | Train Loss : 5.2051 | Grad Norm : 2.4190
Batch : 93 / 196 | Time 738 ms | Train Loss : 5.2282 | Grad Norm : 2.0088
Batch : 94 / 196 | Time 741 ms | Train Loss : 5.1833 | Grad Norm : 1.3532
Batch : 95 / 196 | Time 732 ms | Train Loss : 5.2303 | Grad Norm : 1.8234
Batch : 96 / 196 | Time 737 ms | Train Loss : 5.1810 | Grad Norm : 1.8776
Batch : 97 / 196 | Time 741 ms | Train Loss : 5.1893 | Grad Norm : 2.3596
Batch : 98 / 196 | Time 742 ms | Train Loss : 5.1357 | Grad Norm : 1.2983
Batch : 99 / 196 | Time 753 ms | Train Loss : 5.1220 | Grad Norm : 4.1839
Batch : 100 / 196 | Time 743 ms | Train Loss : 5.2184 | Grad Norm : 1.7934
Batch : 101 / 196 | Time 744 ms | Train Loss : 5.1906 | Grad Norm : 3.9526
Batch : 102 / 196 | Time 725 ms | Train Loss : 5.1726 | Grad Norm : 2.7165
Batch : 103 / 196 | Time 729 ms | Train Loss : 5.1528 | Grad Norm : 0.7710
Batch : 104 / 196 | Time 745 ms | Train Loss : 5.0966 | Grad Norm : 1.3324
Batch : 105 / 196 | Time 731 ms | Train Loss : 5.1228 | Grad Norm : 1.1326
